model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.9370646766169154,0.842277755018435,0.8042245257187561,0.8228114057028514,0.9725644945871796
RandomForest,0.9302771855010661,0.7746208819940735,0.8691570506551927,0.8191705069124424,0.9714852336500257
CatBoost,0.9291044776119403,0.7597467510829723,0.8918443184040681,0.8205128205128205,0.9733335558064894
XGBoost,0.9374911158493248,0.8382412263009278,0.8128300410717778,0.8253400853937047,0.9742393454376566
