Model,Accuracy,Precision,Recall,Specificity,NPV,F1_Score,Balanced_Accuracy,ROC_AUC,PR_AUC,MCC,Cohen_Kappa,Log_Loss,Brier_Score,True_Positives,True_Negatives,False_Positives,False_Negatives,Threshold,Original_Threshold,Training_Time_Sec,Inference_Time_Sec,Top_Feature_2,Top_Feature_13,Top_Feature_6,Top_Feature_15,Top_Feature_3,Top_Feature_4,Top_Feature_14,Top_Feature_5
XGBoost,0.9367448471926084,0.8086682719022041,0.8539018188930177,0.9551396187084726,0.9671518402884658,0.8306697108066972,0.9045207188007451,0.9740717134150064,0.9069644445990204,0.7922566622546566,0.7918133033349066,0.1532101673583438,0.04522402178123176,4366,21994,1033,747,0.3939473032951355,0.5,0.59,0.0082,age (0.2317),suicidal_thoughts (0.1948),,financial_stress (0.0456),working_student (0.3085),,,academic_pressure (0.0673)
CatBoost,0.9365671641791045,0.8112607557052002,0.8482300019557989,0.9561818734529031,0.9659559533210494,0.8293335882971603,0.902205937704351,0.9733335558064894,0.9056746253658898,0.7906973823826564,0.7904013946050489,0.17514868308138767,0.05216262390440548,4337,22018,1009,776,0.6384114994344752,0.5,4.75,0.0041,age (16.8513),suicidal_thoughts (13.5021),work_pressure (8.1613),financial_stress (9.6491),,,workstudy_hours (8.4794),
LogisticRegression,0.9356432125088842,0.8046125461254613,0.8529239194210835,0.9540105094020064,0.9669014084507043,0.8280641792461787,0.903467214411545,0.9725646050027192,0.901726483846949,0.7890254572984077,0.7885182490869336,0.15695011699027991,0.046063866627695044,4361,21968,1059,752,0.383748346674388,0.5,0.34,0.0009,age (2.0887),suicidal_thoughts (1.2295),work_pressure (0.7892),financial_stress (0.7789),working_student (0.7400),,,
RandomForest,0.9352878464818764,0.8153256704980842,0.8323880305104635,0.9581361010987102,0.96260907504363,0.8237685086615697,0.8952620658045869,0.9713497070688479,0.8983452705840057,0.7842041756889383,0.7841410938666984,0.18858822275760834,0.05110889702627701,4256,22063,964,857,0.5910295319452508,0.5,3.78,0.1645,age (0.4624),suicidal_thoughts (0.1009),work_pressure (0.0532),,working_student (0.0897),profession (0.0584),,
