iter	F1	Logloss
92	0.9130677362	0.1800838557
93	0.9131025338	0.1797276649
94	0.9132891896	0.1795328312
95	0.9134305188	0.1791442227
96	0.9135117652	0.1789358136
97	0.9136930266	0.1786073841
98	0.913711001	0.1784379238
99	0.9139313779	0.1781624088
100	0.9139628498	0.1779048363
101	0.9141356179	0.1776646529
102	0.914276939	0.1773615551
103	0.9143517583	0.1772054961
104	0.9143780813	0.1770169399
105	0.9145803365	0.1768334569
106	0.914500485	0.1767320645
107	0.914834299	0.1764120579
108	0.9147766767	0.1762549132
109	0.9149336846	0.1761157337
110	0.9150495834	0.1758860159
111	0.9150265517	0.175663511
112	0.9152402657	0.1754023794
113	0.9154720153	0.1752048244
114	0.9153372448	0.1750085778
115	0.9156330551	0.1747193373
116	0.915711908	0.1745857749
117	0.9157448184	0.1743357858
118	0.9158869443	0.1741830044
119	0.9160693941	0.1740074702
120	0.9161771004	0.1739195416
121	0.9163528822	0.1737417186
122	0.9164532004	0.1734936715
123	0.9164787742	0.1733818557
124	0.9165158078	0.1731325577
125	0.9165164971	0.1730370819
126	0.9166922542	0.1728938614
127	0.9166612789	0.1726778514
128	0.9167542229	0.1725780899
129	0.9168552402	0.1723842889
130	0.9169676841	0.1721416663
131	0.9169865294	0.1719645297
132	0.9169973251	0.1718266186
133	0.9170909091	0.1716785898
134	0.9172027023	0.1713974645
135	0.9173333333	0.1712583026
136	0.9174154761	0.1710531394
137	0.9175683429	0.1708827333
138	0.9175871682	0.1707233791
139	0.9176470588	0.1706451264
140	0.917692115	0.1705260371
141	0.9179202146	0.1702250827
142	0.9180507982	0.1700633841
143	0.9181813775	0.1698912018
144	0.9181254898	0.1697943911
145	0.9183159119	0.1695326627
146	0.918390591	0.1693625556
147	0.9184949433	0.1691869492
148	0.9185320419	0.1690354463
149	0.9187412158	0.1688957976
150	0.9188114973	0.1685543973
151	0.9189573421	0.1684390715
152	0.9191660541	0.1682082207
153	0.9193747728	0.1679215202
154	0.9193708649	0.1678391744
155	0.919374384	0.167689702
156	0.9194302841	0.1673470108
157	0.9194490447	0.1673443778
158	0.9195760699	0.1671736634
159	0.9197628586	0.1668223505
160	0.9196245375	0.1665583974
161	0.919900815	0.1662754393
162	0.9198895028	0.1662200301
163	0.9199754466	0.1660295421
164	0.9201246992	0.1659014049
165	0.9201841531	0.1656261941
166	0.9202962341	0.1655033889
167	0.9203931482	0.1652533334
168	0.920430316	0.1650903627
169	0.9206728634	0.1648174215
170	0.9205608231	0.1646736599
171	0.9208146258	0.1645226863
172	0.921023521	0.1642057952
173	0.9212400097	0.1639877834
174	0.9212285631	0.1638700292
175	0.9213142022	0.1636774402
176	0.9214557376	0.1632754947
177	0.9214929423	0.1631745903
178	0.9216680664	0.1629506218
179	0.921753876	0.162783073
180	0.921731406	0.1626321078
181	0.9218357574	0.1624115864
182	0.9219326652	0.1621682051
183	0.9221116889	0.1619741602
184	0.9220967976	0.1618196964
185	0.9221602332	0.1616150714
186	0.9223466348	0.1614922424
187	0.9224547128	0.161280181
188	0.9224322382	0.1611440768
189	0.9225776242	0.1610404029
190	0.9226148667	0.1608232522
191	0.9228049214	0.1605683092
192	0.9230620186	0.160389197
193	0.9230135792	0.16027375
194	0.9233004536	0.160074581
195	0.9234345489	0.159831242
196	0.9235909355	0.1596819036
197	0.9237063817	0.1595016426
198	0.9236877784	0.1594094623
199	0.923747347	0.159234158
200	0.9240042605	0.1590195164
201	0.9241272454	0.1588428308
202	0.9241756646	0.1586967606
203	0.9243470962	0.1584847003
204	0.9243321766	0.1584071497
205	0.9245406348	0.1582267733
206	0.9245666699	0.158082952
207	0.9247230269	0.1578117442
208	0.9248309584	0.1576773314
209	0.9250096824	0.1575119198
210	0.9250209799	0.1574345476
211	0.9252144165	0.1572407356
212	0.9252664445	0.1570941736
213	0.9253557944	0.1569519617
214	0.9254896899	0.1567522667
215	0.9255828963	0.1566198197
216	0.9256238352	0.1564347975
217	0.9257427739	0.1562514608
218	0.9258138691	0.1560857996
219	0.9258216266	0.1559846333
220	0.9259555104	0.1557877186
221	0.9262346003	0.1555983536
222	0.9262534493	0.15535241
223	0.9263613112	0.1551547512
224	0.9264656049	0.1549881131
225	0.926628966	0.1548313903
226	0.9268151016	0.1546251817
227	0.9269303991	0.1543277053
228	0.9271125738	0.154161267
229	0.9272502884	0.1540118693
230	0.9272243285	0.1538285712
231	0.9272617271	0.1536676456
232	0.9274808237	0.1534477949
233	0.9275296851	0.1533081898
234	0.9277008333	0.1531468204
235	0.927875967	0.1529150703
236	0.9280730482	0.1526507996
237	0.9280915008	0.1524950358
238	0.9282441763	0.1523389161
239	0.9283300127	0.1521506582
240	0.9283265438	0.1519837466
241	0.9286204032	0.1518036976
242	0.9287506151	0.1516300484
243	0.9288992491	0.1514545342
244	0.929122807	0.1512669899
245	0.9291493567	0.1510923091
246	0.9291418615	0.1510121769
247	0.9292086795	0.1508283889
248	0.9292611505	0.1506839307
249	0.9294472589	0.1505332761
250	0.929484077	0.1503756262
251	0.92959587	0.1501592111
252	0.9297403676	0.1501018054
253	0.9298923344	0.149940603
254	0.9298964416	0.1497695885
255	0.9299823363	0.1496320701
256	0.9300225005	0.149488888
257	0.9301935484	0.1493717075
258	0.9303679572	0.1492132664
259	0.9304238436	0.1489768713
260	0.9305056044	0.1488328214
261	0.9305982244	0.1486778784
262	0.930657464	0.148477431
263	0.9307984423	0.1482938959
264	0.9308167988	0.1481331143
265	0.9308918507	0.147986321
266	0.9310595065	0.1478072135
267	0.9310478279	0.1476773875
268	0.9311662555	0.1475807182
269	0.9313714424	0.1474921659
270	0.9314723882	0.1473566561
271	0.9314982342	0.1472129476
272	0.9315907863	0.1469836272
273	0.931680925	0.1468239973
274	0.9317785949	0.1466659312
275	0.9317828082	0.1465431373
276	0.9317969229	0.146408265
277	0.9318429266	0.1462698613
278	0.9318946121	0.1460983342
279	0.9321914991	0.1458252443
280	0.932254917	0.1456779113
281	0.9323958199	0.1455709191
282	0.9325141503	0.145373831
283	0.9325066316	0.1452255474
284	0.9325657895	0.1450644293
285	0.9326808346	0.1449181708
286	0.9327292076	0.1447610994
287	0.9327184333	0.1446103151
288	0.9329377429	0.144429741
289	0.9330925741	0.1443561398
290	0.9333161357	0.1441761656
291	0.9334236173	0.144092281
292	0.9335762422	0.1439392058
293	0.9337202273	0.1437964466
294	0.9338169508	0.1436718651
295	0.9339362577	0.1434336294
296	0.9340405123	0.1432598199
297	0.9341491137	0.1430826852
298	0.9341395574	0.1429555305
299	0.934183583	0.1428706723
